code,catalog,messier,name,type,ra_deg,dec_deg,mag,const
IC0001,IC,,,Double Star,2.112708,27.717667,,Peg
IC0002,IC,,,Galaxy,2.753667,-12.822861,15.46,Cet
IC0003,IC,,,Galaxy,3.025375,-0.415222,14.78,Psc
IC0004,IC,,,Galaxy,3.362250,17.486444,14.14,Peg
IC0005,IC,,,Galaxy,4.395542,-9.543361,14.57,Cet
IC0006,IC,,,Galaxy,4.729333,-3.276083,14.57,Psc
IC0007,IC,,,Galaxy,4.721500,10.594694,14.63,Psc
IC0008,IC,,,Galaxy,4.761333,-3.222083,15.16,Psc
IC0009,IC,,,Galaxy,4.933250,-14.121889,15.41,Cet
IC0010,IC,,,Galaxy,5.072250,59.303778,10.35,Cas
IC0011,IC,,,Duplicate,13.247292,56.621889,,Cas
IC0012,IC,,,Galaxy,5.062708,-2.653111,15.08,Psc
IC0013,IC,,,Galaxy,5.083708,7.700500,14.93,Psc
IC0014,IC,,,Double Star,5.630375,10.490250,,Psc
IC0015,IC,,,Galaxy,6.989958,-0.061278,15.90,Cet
IC0016,IC,,,Galaxy,7.031875,-13.093917,15.15,Cet
IC0017,IC,,,Galaxy,7.124083,2.648611,14.77,Cet
IC0018,IC,,,Galaxy,7.145667,-11.586694,15.03,Cet
IC0019,IC,,,Galaxy,7.164500,-11.640778,15.15,Cet
IC0020,IC,,,Galaxy,7.165333,-13.010306,14.88,Cet
IC0021,IC,,,Galaxy,7.293458,-0.163778,15.54,Cet
IC0022,IC,,,Galaxy,7.388208,-9.080750,14.73,Cet
IC0023,IC,,,Galaxy,7.711667,-12.720250,15.05,Cet
IC0024,IC,,,Double Star,7.819292,30.839306,,And
IC0025,IC,,,Galaxy,7.800375,-0.407361,15.29,Cet
IC0026,IC,,,Duplicate,7.941417,-13.337472,,Cet
IC0027,IC,,,Galaxy,8.276000,-13.371500,15.82,Cet
IC0028,IC,,,Galaxy,8.286333,-13.456278,15.56,Cet
IC0029,IC,,,Galaxy,8.545000,-2.177639,15.79,Cet
IC0030,IC,,,Galaxy,8.561333,-2.084583,15.17,Cet
IC0031,IC,,,Galaxy,8.602625,12.268167,15.62,Psc
IC0032,IC,,,Galaxy,8.757042,-2.141694,16.15,Cet
IC0033,IC,,,Galaxy,8.771500,-2.137694,15.29,Cet
IC0034,IC,,,Galaxy,8.901750,9.124250,13.77,Psc
IC0035,IC,,,Galaxy,9.416167,10.357972,14.96,Psc
IC0036,IC,,,Galaxy,9.456875,-15.441278,15.54,Cet
IC0037,IC,,,Galaxy,9.642417,-15.358694,16.23,Cet
IC0038,IC,,,Galaxy,9.661500,-15.419833,15.02,Cet
IC0039,IC,,,Duplicate,9.785000,-14.172833,,Cet
IC0040,IC,,,Galaxy,9.839167,2.456222,15.04,Cet
IC0041,IC,,,Galaxy,9.918208,-14.174333,15.20,Cet
IC0042,IC,,,Galaxy,10.274333,-15.428083,15.38,Cet
IC0043,IC,,,Galaxy,10.591917,29.641639,13.25,And
IC0044,IC,,,Duplicate,10.566167,0.845500,,Cet
IC0045,IC,,,Other,10.651417,29.655250,,And
IC0046,IC,,,Galaxy,10.741542,27.253472,14.28,And
IC0047,IC,,,Galaxy,10.729208,-13.740722,16.09,Cet
IC0048,IC,,,Galaxy,10.893625,-8.186500,13.16,Cet
IC0049,IC,,,Galaxy,10.983875,1.850278,13.78,Cet
IC0050,IC,,,Galaxy,11.523792,-9.503000,14.74,Cet
IC0051,IC,,,Galaxy,11.600917,-13.442361,13.75,Cet
IC0052,IC,,,Galaxy,12.099083,4.091861,15.31,Psc
IC0053,IC,,,Galaxy,12.669875,10.600278,15.33,Psc
IC0054,IC,,,Double Star,12.695208,-2.287778,,Cet
IC0055,IC,,,Galaxy,12.926625,7.718528,15.01,Psc
IC0056,IC,,,Galaxy,12.874750,-12.844306,15.14,Cet
IC0057,IC,,,Galaxy,13.702083,11.841194,15.48,Psc
IC0058,IC,,,Galaxy,13.760167,-13.678083,15.51,Cet
IC0059,IC,,,Reflection Nebula,14.369208,61.143667,,Cas
IC0060,IC,,,Galaxy,14.017625,-13.357917,15.75,Cet
IC0061,IC,,,Galaxy,14.280000,7.507083,15.23,Psc
IC0062,IC,,,Galaxy,14.683083,11.808000,14.97,Psc
IC0063,IC,,,HII Region,14.870167,60.911694,13.33,Cas
IC0064,IC,,,Galaxy,14.851750,27.059056,13.96,Psc
IC0065,IC,,,Galaxy,15.230917,47.681972,13.60,And
IC0066,IC,,,Galaxy,15.135417,30.797222,14.10,Psc
IC0067,IC,,,Non-Existent,15.073583,-6.910750,,Cet
IC0068,IC,,,Non-Existent,15.090208,-6.944111,,Cet
IC0069,IC,,,Galaxy,15.348583,31.040833,14.65,Psc
IC0070,IC,,,Galaxy,15.266458,0.050750,16.77,Cet
IC0071,IC,,,Star,15.330250,-6.767167,,Cet
IC0072,IC,,,Star,15.394625,-6.777944,,Cet
IC0073,IC,,,Galaxy,16.220625,4.767139,15.38,Psc
IC0074,IC,,,Galaxy,16.483125,4.090250,15.59,Psc
IC0075,IC,,,Galaxy,16.798375,10.836889,14.98,Psc
IC0076,IC,,,Galaxy,17.048792,-4.554500,15.44,Cet
IC0077,IC,,,Galaxy,17.182292,-15.420917,15.04,Cet
IC0078,IC,,,Galaxy,17.198750,-15.845083,15.24,Cet
IC0079,IC,,,Galaxy,17.207125,-15.948583,14.93,Cet
IC0080,IC,,,GPair,17.212083,-15.407500,,Cet
IC0080 NED01,IC,,,Galaxy,17.211250,-15.408944,14.83,Cet
IC0080 NED02,IC,,,Galaxy,17.213042,-15.406306,12.90,Cet
IC0081,IC,,,Galaxy,17.342750,-1.695861,14.53,Cet
IC0082,IC,,,Galaxy,17.274125,-16.000306,14.85,Cet
IC0083,IC,,,Galaxy,17.624083,1.689361,15.16,Cet
IC0084,IC,,,Galaxy,17.856667,1.640194,15.21,Cet
IC0085,IC,,,Star,17.956458,-0.452472,,Cet
IC0086,IC,,,Galaxy,18.368833,-16.241667,15.31,Cet
IC0087,IC,,,Galaxy,18.565792,0.765333,15.37,Cet
IC0088,IC,,,Galaxy,18.630417,0.791750,18.07,Cet
IC0089,IC,,,Duplicate,19.015042,4.294111,,Psc
IC0090,IC,,,Galaxy,19.126458,-7.977139,14.85,Cet
IC0091,IC,,,Galaxy,19.664292,2.553667,16.48,Cet
IC0092,IC,,,Duplicate,19.952083,32.767778,,Psc
IC0093,IC,,,Galaxy,19.759750,-17.060389,13.57,Cet
IC0094,IC,,,Star,20.022875,32.717333,,Psc
IC0095,IC,,,Galaxy,19.824500,-12.574139,16.20,Cet
IC0096,IC,,,Galaxy,20.138417,29.617250,14.65,Psc
IC0097,IC,,,Duplicate,20.008333,14.861056,,Psc
IC0098,IC,,,Galaxy,20.228667,-12.604722,16.30,Cet
IC0099,IC,,,Galaxy,20.614000,-12.952556,15.82,Cet
IC0100,IC,,,Galaxy,20.724833,-4.643028,14.48,Cet
IC0101,IC,,,Galaxy,21.035625,9.930528,15.03,Psc
IC0102,IC,,,Galaxy,21.109708,9.886556,15.57,Psc
IC0103,IC,,,Galaxy,21.151833,2.044250,15.36,Cet
IC0104,IC,,,Double Star,21.140000,-1.456722,8.79,Cet
IC0105,IC,,,Galaxy,21.192708,2.075278,15.59,Cet
IC0106,IC,,,Duplicate,21.173542,-1.587083,,Cet
IC0107,IC,,,Galaxy,21.352750,14.864611,14.25,Psc
IC0108,IC,,,Galaxy,21.162333,-12.635583,15.48,Cet
IC0109,IC,,,Galaxy,21.304542,2.066222,14.87,Cet
IC0110,IC,,,Other,21.444167,33.514694,,Psc
IC0111,IC,,,Other,21.500542,33.497111,,Psc
IC0112,IC,,,Galaxy,21.512583,11.442972,14.17,Psc
IC0113,IC,,,Galaxy,21.606250,19.191972,,Psc
IC0114,IC,,,Galaxy,21.594083,9.909944,15.62,Psc
IC0115,IC,,,Galaxy,21.726833,19.214694,14.03,Psc
IC0116,IC,,,Galaxy,21.710708,-4.982278,14.62,Cet
IC0117,IC,,,Duplicate,21.855917,-1.912972,,Cet
IC0118,IC,,,Galaxy,21.900167,-4.997472,15.81,Cet
IC0119,IC,,,Galaxy,21.979250,-2.040472,15.18,Cet
IC0120,IC,,,Galaxy,22.054000,-1.915528,15.12,Cet
IC0121,IC,,,Galaxy,22.090750,2.513028,14.25,Cet
IC0122,IC,,,Galaxy,22.055000,-14.838889,15.96,Cet
IC0123,IC,,,Galaxy,22.214417,2.446444,15.16,Cet
IC0124,IC,,,Star,22.287833,-1.937028,14.40,Cet
IC0125,IC,,,Galaxy,22.326458,-13.279833,16.18,Cet
IC0126,IC,,,Galaxy,22.449417,-1.983750,15.66,Cet
IC0127,IC,,,Galaxy,22.448375,-6.980056,9.20,Cet
IC0128,IC,,,Galaxy,22.849458,-12.624389,15.35,Cet
IC0129,IC,,,Galaxy,22.880250,-12.654389,15.28,Cet
IC0130,IC,,,Galaxy,22.869750,-15.591611,15.49,Cet
IC0131,IC,,,HII Region,23.310750,30.753250,12.52,Tri
IC0132,IC,,,HII Region,23.316333,30.945611,14.82,Tri
IC0133,IC,,,HII Region,23.313250,30.888389,18.45,Tri
IC0134,IC,,,Star,23.354167,30.900667,15.98,Tri
IC0135,IC,,,HII Region,23.564708,30.620083,,Tri
IC0136,IC,,,Stellar Association,23.566833,30.562056,11.04,Tri
IC0137,IC,,,Stellar Association,23.412125,30.522500,,Tri
IC0138,IC,,,Galaxy,23.258250,-0.689833,14.72,Cet
IC0139,IC,,,Stellar Association,23.496833,30.567444,13.10,Tri
IC0140,IC,,,Stellar Association,23.492375,30.550139,,Tri
IC0141,IC,,,Galaxy,23.215458,-14.814611,14.33,Cet
IC0142,IC,,,HII Region,23.481375,30.757806,14.20,Tri
IC0143,IC,,,HII Region,23.545542,30.776417,11.40,Tri
IC0144,IC,,,Galaxy,24.420208,-13.314667,15.74,Cet
IC0145,IC,,,Galaxy,24.660333,0.741500,15.40,Cet
IC0146,IC,,,Duplicate,24.665792,-17.831194,,Cet
IC0147,IC,,,Galaxy,24.998958,-14.862639,15.23,Cet
IC0148,IC,,,Galaxy,25.612375,13.977028,13.84,Psc
IC0149,IC,,,Galaxy,25.605750,-16.300417,14.40,Cet
IC0150,IC,,,Galaxy,25.739667,4.200167,14.86,Psc
IC0151,IC,,,Other,25.989458,13.202611,,Psc
IC0152,IC,,,Other,26.030792,13.035861,,Psc
IC0153,IC,,,Other,26.150875,12.628944,,Psc
IC0154,IC,,,Galaxy,26.317792,10.649194,14.83,Psc
IC0155,IC,,,Other,26.884708,60.610833,,Cas
IC0156,IC,,,Galaxy,26.371708,10.552722,14.92,Psc
IC0157,IC,,,Other,26.426667,12.873333,,Psc
IC0158,IC,,,Galaxy,26.473000,-6.935694,15.88,Cet
IC0159,IC,,,Galaxy,26.604375,-8.636611,14.18,Cet
IC0160,IC,,,Galaxy,26.623167,-13.247722,14.88,Cet
IC0161,IC,,,Galaxy,27.182250,10.507889,14.27,Psc
IC0162,IC,,,Galaxy,27.222625,10.521611,14.46,Psc
IC0163,IC,,,Galaxy,27.312458,20.711306,13.26,Ari
IC0164,IC,,,Galaxy,27.285042,-3.904389,14.04,Cet
IC0165,IC,,,Duplicate,27.558417,27.645667,,Tri
IC0166,IC,,,Open Cluster,28.099250,61.852611,11.70,Cas
IC0167,IC,,,Galaxy,27.785667,21.912806,13.26,Ari
IC0168,IC,,,Galaxy,27.615125,-8.522944,14.85,Cet
IC0169,IC,,,Galaxy,27.664000,-12.679611,15.79,Cet
IC0170,IC,,,Galaxy,27.989667,-8.517611,15.34,Cet
IC0171,IC,,,Galaxy,28.792542,35.281889,13.69,Tri
IC0172,IC,,,Galaxy,28.725958,0.811222,14.74,Cet
IC0173,IC,,,Galaxy,28.988125,1.285167,14.09,Cet
IC0174,IC,,,Galaxy,29.067000,3.761861,14.52,Psc
IC0175,IC,,,Galaxy,29.078583,1.332417,15.70,Cet
IC0176,IC,,,Galaxy,29.222500,-2.018972,14.90,Cet
IC0177,IC,,,Galaxy,29.252417,-0.089861,15.47,Cet
IC0178,IC,,,Galaxy,29.728625,36.674694,13.28,And
IC0179,IC,,,Galaxy,30.047917,38.021333,12.56,And
IC0180,IC,,,Galaxy,30.001708,23.604333,15.30,Ari
IC0181,IC,,,Galaxy,30.009708,23.658639,15.85,Ari
IC0182,IC,,,Galaxy,29.965875,7.411833,14.54,Psc
IC0183,IC,,,Galaxy,29.891875,-5.347139,14.89,Cet
IC0184,IC,,,Galaxy,29.963458,-6.840389,13.89,Cet
IC0185,IC,,,Galaxy,30.025167,-1.528333,15.72,Cet
IC0186,IC,,,GTrpl,30.102083,-1.551722,,Cet
IC0186A,IC,,,Galaxy,30.100000,-1.552861,14.87,Cet
IC0186B,IC,,,Galaxy,30.106042,-1.549806,15.80,Cet
IC0186 NED03,IC,,,Galaxy,30.105833,-1.550833,,Cet
IC0187,IC,,,Galaxy,30.378167,26.480972,13.79,Tri
IC0188,IC,,,Galaxy,30.443750,26.546889,14.40,Tri
IC0189,IC,,,Galaxy,30.470458,23.551500,14.85,Ari
IC0190,IC,,,Galaxy,30.530333,23.549833,15.03,Ari
IC0191,IC,,,Duplicate,30.622208,18.373000,,Ari
IC0192,IC,,,Galaxy,30.634958,16.014167,14.75,Ari
IC0193,IC,,,Galaxy,30.629083,11.093083,14.62,Ari
IC0194,IC,,,Galaxy,30.771750,2.614250,15.18,Psc
IC0195,IC,,,Galaxy,30.935875,14.709278,13.15,Ari
IC0196,IC,,,Galaxy,30.957500,14.739139,14.11,Ari
IC0197,IC,,,Galaxy,31.020542,2.786833,14.25,Psc
IC0198,IC,,,Galaxy,31.513000,9.295556,14.81,Psc
IC0199,IC,,,Galaxy,31.580833,9.227417,15.33,Psc
IC0200,IC,,,Galaxy,31.361000,31.175333,12.82,Tri
IC0201,IC,,,Galaxy,31.813708,9.115056,16.77,Cet
IC0202,IC,,,Galaxy,31.869417,9.168306,15.22,Cet
IC0203,IC,,,Galaxy,31.873542,9.122639,16.90,Cet
IC0204,IC,,,Galaxy,31.862833,-1.430194,15.82,Cet
IC0205,IC,,,Galaxy,31.864292,-2.091278,14.76,Cet
IC0206,IC,,,Galaxy,32.377833,-6.968389,14.34,Cet
IC0207,IC,,,Galaxy,32.413958,-6.922194,14.53,Cet
IC0208,IC,,,Galaxy,32.115583,6.394917,14.73,Cet
IC0209,IC,,,Galaxy,32.244625,-7.058917,13.80,Cet
IC0210,IC,,,Galaxy,32.367833,-9.680333,13.82,Cet
IC0211,IC,,,Galaxy,32.783333,3.852500,14.07,Cet
IC0212,IC,,,Galaxy,33.409417,16.593944,15.75,Ari
IC0213,IC,,,Galaxy,33.517833,16.455889,13.20,Ari
IC0214,IC,,,Galaxy,33.523292,5.173250,14.16,Cet
IC0215,IC,,,Galaxy,33.539417,-6.806333,15.62,Cet
IC0216,IC,,,Galaxy,33.981333,-2.015111,15.87,Cet
IC0217,IC,,,Galaxy,34.043500,-11.926722,15.08,Cet
IC0218,IC,,,Galaxy,34.280208,1.282333,15.63,Cet
IC0219,IC,,,Galaxy,34.661792,-6.903333,14.44,Cet
IC0220,IC,,,Galaxy,34.798875,-12.781639,15.08,Cet
IC0221,IC,,,Galaxy,35.670417,28.256972,13.81,Tri
IC0222,IC,,,Galaxy,35.699375,11.638333,15.14,Ari
IC0223,IC,,,Galaxy,35.504583,-20.745917,14.09,Cet
IC0224,IC,,,Galaxy,36.188083,-12.564472,15.00,Cet
IC0225,IC,,,Galaxy,36.617875,1.160528,14.83,Cet
IC0226,IC,,,Galaxy,36.941375,28.208833,16.00,Tri
IC0227,IC,,,Galaxy,37.015042,28.175333,15.39,Tri
IC0228,IC,,,Duplicate,36.673042,-14.515639,,Cet
IC0229,IC,,,Other,36.842042,-23.813000,,Cet
IC0230,IC,,,Galaxy,37.197042,-10.831361,15.54,Cet
IC0231,IC,,,Galaxy,37.484958,1.179083,15.14,Cet
IC0232,IC,,,Galaxy,37.798417,1.265639,14.30,Cet
IC0233,IC,,,Galaxy,37.919583,2.809917,15.53,Cet
IC0234,IC,,,Galaxy,37.907167,-0.140250,15.22,Cet
IC0235,IC,,,Galaxy,38.211625,20.641250,14.35,Ari
IC0236,IC,,,Galaxy,38.232542,-0.131250,15.97,Cet
IC0237,IC,,,Galaxy,38.381542,1.139889,14.71,Cet
IC0238,IC,,,Galaxy,38.844500,12.837722,14.02,Ari
IC0239,IC,,,Galaxy,39.116167,38.969917,11.20,And
IC0240,IC,,,Other,39.744042,41.719417,,Per
IC0241,IC,,,Galaxy,39.477083,2.328028,14.48,Cet
IC0242,IC,,,Double Star,39.599708,-6.933944,,Cet
IC0243,IC,,,Galaxy,39.634000,-6.902139,15.46,Cet
IC0244,IC,,,Galaxy,39.853042,2.728806,15.26,Cet
IC0245,IC,,,Galaxy,39.727667,-14.305556,15.00,Cet
IC0246,IC,,,Galaxy,40.119167,2.478639,15.39,Cet
IC0247,IC,,,Galaxy,40.036583,-11.733778,14.74,Cet
IC0248,IC,,,Galaxy,40.357625,17.812222,14.35,Ari
IC0249,IC,,,Duplicate,40.260375,-6.935917,,Cet
IC0250,IC,,,Galaxy,40.226125,-13.313556,15.05,Cet
IC0251,IC,,,Galaxy,40.307708,-14.957833,15.00,Cet
IC0252,IC,,,Galaxy,40.438042,-14.848250,15.35,Cet
IC0253,IC,,,Galaxy,40.523958,-15.046833,14.87,Cet
IC0254,IC,,,Galaxy,40.520750,-15.106639,14.91,Cet
IC0255,IC,,,Galaxy,41.763375,16.288028,15.68,Ari
IC0256,IC,,,Galaxy,42.417917,46.954667,14.31,Per
IC0257,IC,,,Galaxy,42.439333,46.976194,12.68,Per
IC0258,IC,,,Galaxy,42.442083,41.051667,15.52,Per
IC0259,IC,,,Galaxy,42.420333,41.055111,15.38,Per
IC0260,IC,,,Galaxy,42.753667,46.954778,15.12,Per
IC0261,IC,,,Duplicate,42.267042,-14.470694,,Eri
IC0262,IC,,,Galaxy,42.930292,42.828278,14.69,Per
IC0263,IC,,,Galaxy,42.416500,-0.069861,14.72,Cet
IC0264,IC,,,Galaxy,42.198417,-0.109194,16.88,Cet
IC0265,IC,,,Galaxy,43.683250,41.655333,15.49,Per
IC0266,IC,,,Galaxy,43.770125,42.262333,15.65,Per
IC0267,IC,,,Galaxy,43.459375,12.849222,13.09,Ari
IC0268,IC,,,Galaxy,43.862292,-14.103000,15.31,Eri
IC0269,IC,,,Galaxy,43.860375,-14.066806,15.34,Eri
IC0270,IC,,,Galaxy,43.934125,-14.207889,14.14,Eri
IC0271,IC,,,Galaxy,43.997708,-12.007861,14.70,Eri
IC0272,IC,,,Galaxy,44.026833,-14.186639,14.86,Eri
IC0273,IC,,,Galaxy,44.294917,2.775056,14.32,Cet
IC0274,IC,,,Other,45.021792,44.213167,,Per
IC0275,IC,,,GTrpl,45.238750,44.348333,,Per
IC0275 NED01,IC,,,Galaxy,45.232792,44.346306,,Per
IC0275 NED02,IC,,,Galaxy,45.232917,44.350361,14.44,Per
IC0275 NED03,IC,,,Galaxy,45.244458,44.350167,16.56,Per
IC0276,IC,,,Galaxy,44.671083,-15.703111,13.97,Eri
IC0277,IC,,,Galaxy,44.960833,2.771361,13.12,Cet
IC0278,IC,,,Galaxy,45.376833,37.766000,14.69,Per
IC0279,IC,,,Galaxy,45.300875,16.209222,15.19,Ari
IC0280,IC,,,Other,45.765042,42.359306,,Per
IC0281,IC,,,Duplicate,46.154708,42.362833,,Per
IC0282,IC,,,Duplicate,46.555167,41.848944,,Per
IC0283,IC,,,Galaxy,45.960250,-0.204444,17.93,Cet
IC0284,IC,,,Galaxy,46.541292,42.371917,11.59,Per
IC0285,IC,,,Galaxy,46.025917,-12.015444,15.02,Eri
IC0286,IC,,,Other,46.196750,-6.484528,,Eri
IC0287,IC,,,Galaxy,46.240917,-12.070444,15.36,Eri
IC0288,IC,,,Galaxy,46.887125,42.387556,14.95,Per
IC0289,IC,,,Planetary Nebula,47.580250,61.316778,13.20,Cas
IC0290,IC,,,Galaxy,47.428083,40.974222,15.43,Per
IC0291,IC,,,Galaxy,46.860208,-12.587444,14.65,Eri
IC0292,IC,,,Galaxy,47.553833,40.765667,13.47,Per
IC0293,IC,,,Galaxy,47.734000,41.137111,15.48,Per
IC0294,IC,,,Galaxy,47.762958,40.622111,15.52,Per
IC0295,IC,,,Other,47.753083,40.615250,,Per
IC0296,IC,,,Other,47.769875,40.626861,,Per
IC0297,IC,,,Double Star,48.326583,42.148778,,Per
IC0298,IC,,,GPair,47.828750,1.314722,,Cet
IC0298A,IC,,,Galaxy,47.827083,1.315028,16.12,Cet
IC0298B,IC,,,Galaxy,47.831375,1.313389,15.10,Cet
IC0299,IC,,,Galaxy,47.760625,-13.109583,15.79,Eri
IC0300,IC,,,Galaxy,48.566750,42.415333,16.06,Per
IC0301,IC,,,Galaxy,48.698792,42.222639,14.95,Per
IC0302,IC,,,Galaxy,48.213625,4.707028,12.89,Cet
IC0303,IC,,,Galaxy,48.170292,-11.689944,16.16,Eri
IC0304,IC,,,Galaxy,48.755708,37.881833,14.74,Per
IC0305,IC,,,Galaxy,48.765833,37.860000,15.57,Per
IC0306,IC,,,Galaxy,48.250875,-11.715694,15.50,Eri
IC0307,IC,,,Galaxy,48.438375,-0.241444,14.50,Cet
IC0308,IC,,,Galaxy,49.065958,41.180750,14.22,Per
IC0309,IC,,,Galaxy,49.026208,40.804556,14.81,Per
IC0310,IC,,,Galaxy,49.179083,41.324972,12.71,Per
IC0311,IC,,,Galaxy,49.194708,40.003611,15.65,Per
IC0312,IC,,,Galaxy,49.535875,41.754111,14.64,Per
IC0313,IC,,,Galaxy,50.241250,41.893833,14.79,Per
IC0314,IC,,,Duplicate,49.707542,-1.973333,,Eri
IC0315,IC,,,Galaxy,49.788917,4.038556,15.49,Cet
IC0316,IC,,,GPair,50.332917,41.930556,,Per
IC0316 NED01,IC,,,Galaxy,50.333125,41.928944,15.24,Per
IC0316 NED02,IC,,,Galaxy,50.332917,41.931917,15.03,Per
IC0317,IC,,,Galaxy,49.731292,-12.740194,14.87,Eri
IC0318,IC,,,Galaxy,50.182625,-14.568222,14.72,Eri
IC0319,IC,,,Star,50.871042,41.416361,,Per
IC0320,IC,,,Galaxy,51.496583,40.789028,15.34,Per
IC0321,IC,,,Galaxy,51.123292,-14.985472,14.79,Eri
IC0322,IC,,,Galaxy,51.501958,3.680556,15.35,Tau
IC0323,IC,,,Other,52.389792,41.855083,,Per
IC0324,IC,,,Duplicate,51.617875,-21.355306,,Eri
IC0325,IC,,,Galaxy,52.703583,-7.046722,15.58,Eri
IC0326,IC,,,Galaxy,52.652542,-14.425556,15.41,Eri
IC0327,IC,,,Galaxy,52.791583,-14.692139,15.21,Eri
IC0328,IC,,,Galaxy,52.795625,-14.637861,14.59,Eri
IC0329,IC,,,Galaxy,53.005708,0.279444,15.14,Tau
IC0330,IC,,,Galaxy,53.033458,0.353389,14.98,Tau
IC0331,IC,,,Galaxy,53.079500,0.282556,14.83,Tau
IC0332,IC,,,Galaxy,53.155917,1.382556,15.32,Tau
IC0333,IC,,,Other,53.514083,-4.584889,,Eri
IC0334,IC,,,Galaxy,56.321167,76.638306,11.50,Cam
IC0335,IC,,,Galaxy,53.879333,-34.447056,12.99,For
IC0336,IC,,,Neb,54.487667,23.363139,,Tau
IC0337,IC,,,Other,54.267917,-6.721194,,Eri
IC0338,IC,,,Galaxy,54.408750,3.118778,14.94,Tau
IC0339,IC,,,Star,54.509292,-18.397778,,Eri
IC0340,IC,,,Galaxy,54.871292,-13.115111,14.76,Eri
IC0341,IC,,,Neb,55.232042,21.960194,,Tau
IC0342,IC,,,Galaxy,56.702083,68.096361,9.68,Cam
IC0343,IC,,,Galaxy,55.029750,-18.443472,13.20,Eri
IC0344,IC,,,Galaxy,55.373042,-4.665861,14.92,Eri
IC0345,IC,,,Galaxy,55.288042,-18.314139,14.71,Eri
IC0346,IC,,,Galaxy,55.436083,-18.266972,12.64,Eri
IC0347,IC,,,Galaxy,55.636042,-4.298639,13.99,Eri
IC0348,IC,,omi Per Cloud,Cluster+Nebula,56.142458,32.162833,,Per
IC0349,IC,,Barnard's Merope Nebula,Reflection Nebula,56.583792,23.939806,,Tau
IC0350,IC,,,Galaxy,56.152708,-11.800750,14.95,Eri
IC0351,IC,,,Planetary Nebula,56.887542,35.046917,11.90,Per
IC0352,IC,,,Galaxy,56.905958,-8.731833,15.65,Eri
IC0353,IC,,,Neb,58.254458,25.848000,,Tau
IC0354,IC,,,Neb,58.491292,23.147000,,Tau
IC0355,IC,,,Galaxy,58.442750,19.973917,15.40,Tau
IC0356,IC,,,Galaxy,61.945458,69.812444,10.24,Cam
IC0357,IC,,,Galaxy,60.933333,22.159111,14.60,Tau
IC0358,IC,,,Galaxy,60.928667,19.894944,15.21,Tau
IC0359,IC,,,Galaxy,63.118167,27.701972,15.39,Tau
IC0359A,IC,,,Reflection Nebula,64.670833,28.290000,,Tau
IC0360,IC,,,Neb,62.260708,26.131194,,Tau
IC0361,IC,,,Open Cluster,64.711250,58.249500,11.70,Cam
IC0362,IC,,,Galaxy,64.176792,-12.200111,14.18,Eri
IC0363,IC,,,Galaxy,64.730917,3.033028,15.20,Tau
IC0364,IC,,,Galaxy,64.777917,3.188944,15.27,Tau
IC0365,IC,,,Galaxy,64.808917,3.348333,14.84,Tau
IC0366,IC,,,Galaxy,64.923083,2.359806,15.66,Tau
IC0367,IC,,,Galaxy,65.170792,-14.781056,14.47,Eri
IC0368,IC,,,Galaxy,65.678000,-12.615167,15.08,Eri
IC0369,IC,,,Galaxy,65.867583,-11.790083,15.37,Eri
IC0370,IC,,,Galaxy,66.006958,-9.394833,14.94,Eri
IC0371,IC,,,Star,67.552458,-0.561000,,Eri
IC0372,IC,,,Galaxy,67.517667,-5.009972,15.32,Eri
IC0373,IC,,,Galaxy,67.678167,-4.870250,15.04,Eri
IC0374,IC,,,Galaxy,68.136458,16.634167,15.81,Tau
IC0375,IC,,,Galaxy,67.763083,-12.973972,15.24,Eri
IC0376,IC,,,Galaxy,67.807458,-12.433361,16.05,Eri
IC0377,IC,,,Galaxy,67.818917,-12.455083,14.84,Eri
IC0378,IC,,,Galaxy,67.866333,-12.299750,15.60,Eri
IC0379,IC,,,Galaxy,67.962208,-7.238361,14.70,Eri
IC0380,IC,,,Galaxy,67.922167,-12.927028,15.25,Eri
IC0381,IC,,,Duplicate,71.118750,75.639750,,Cam
IC0382,IC,,,Galaxy,69.481458,-9.519333,13.53,Eri
IC0383,IC,,,Galaxy,69.741792,9.892528,15.60,Tau
IC0384,IC,,,Galaxy,69.826167,-7.839111,15.14,Eri
IC0385,IC,,,Galaxy,69.881083,-7.097472,15.41,Eri
IC0386,IC,,,Duplicate,69.994083,-9.456222,,Eri
IC0387,IC,,,Galaxy,70.434208,-7.086194,12.99,Eri
IC0388,IC,,,GPair,70.472208,-7.305528,,Eri
IC0388 NED01,IC,,,Galaxy,70.468417,-7.304639,16.20,Eri
IC0388 NED02,IC,,,Galaxy,70.476333,-7.306472,15.91,Eri
IC0389,IC,,,Galaxy,70.498417,-7.311472,15.07,Eri
IC0390,IC,,,Galaxy,70.516125,-7.206444,15.48,Eri
IC0391,IC,,,Galaxy,74.338042,78.188833,12.68,Cam
IC0392,IC,,,Galaxy,71.607333,3.505556,13.47,Ori
IC0393,IC,,,Galaxy,71.965833,-15.525194,14.87,Eri
IC0394,IC,,,Other,72.211292,-6.280194,,Eri
IC0395,IC,,,Duplicate,72.391792,0.252861,,Ori
IC0396,IC,,,Galaxy,74.495792,68.323389,13.08,Cam
IC0397,IC,,,Other,75.277625,40.424889,,Aur
IC0398,IC,,,Galaxy,74.552333,-7.780250,,Eri
IC0399,IC,,,Galaxy,75.433375,-4.288750,14.80,Eri
